symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BTC/USD,2021-01-01 06:00:00+00:00,29255.71,29338.25,29153.55,29234.15,42.244289,1243.0,29237.240312
BTC/USD,2021-01-01 07:00:00+00:00,29235.61,29236.95,28905.0,29162.5,34.506038,1070.0,29078.423185
BTC/USD,2021-01-01 08:00:00+00:00,29162.5,29248.52,28948.86,29076.77,27.596804,1110.0,29091.465155
BTC/USD,2021-01-01 09:00:00+00:00,29075.31,29372.32,29058.05,29284.92,20.6942,880.0,29248.730924
BTC/USD,2021-01-01 10:00:00+00:00,29291.54,29400.0,29232.16,29286.63,16.617646,742.0,29338.609132
BTC/USD,2021-01-01 11:00:00+00:00,29298.34,29478.45,29298.34,29396.28,35.204584,1112.0,29385.402443
BTC/USD,2021-01-01 12:00:00+00:00,29397.05,29680.75,29241.0,29311.47,61.983168,1466.0,29493.632033
BTC/USD,2021-01-01 13:00:00+00:00,29310.18,29556.28,29301.46,29535.0,30.266252,867.0,29450.031065
BTC/USD,2021-01-01 14:00:00+00:00,29535.0,29612.53,29344.81,29398.1,35.459289,1435.0,29469.057134
BTC/USD,2021-01-01 15:00:00+00:00,29398.09,29458.33,29107.01,29264.22,29.555473,1176.0,29313.511506
BTC/USD,2021-01-01 16:00:00+00:00,29263.69,29430.78,29202.3,29372.88,34.014278,1233.0,29354.596467
BTC/USD,2021-01-01 17:00:00+00:00,29371.42,29419.83,29025.81,29169.03,39.96426,1523.0,29242.840235
BTC/USD,2021-01-01 18:00:00+00:00,29167.47,29323.62,28707.56,29141.19,63.160447,2019.0,29054.000924
BTC/USD,2021-01-01 19:00:00+00:00,29141.19,29200.42,29021.44,29104.88,27.801492,1226.0,29124.32876
BTC/USD,2021-01-01 20:00:00+00:00,29101.63,29347.74,28954.89,29301.93,44.651873,1286.0,29230.637238
BTC/USD,2021-01-01 21:00:00+00:00,29299.38,29418.51,29228.75,29258.82,29.65316,1121.0,29320.01534
BTC/USD,2021-01-01 22:00:00+00:00,29257.35,29418.72,29200.0,29360.88,26.994948,1206.0,29356.448032
BTC/USD,2021-01-01 23:00:00+00:00,29360.87,29418.72,29310.98,29418.72,19.051551,1139.0,29382.322661
BTC/USD,2021-01-02 00:00:00+00:00,29417.27,29418.51,29050.0,29262.79,46.44488,1456.0,29224.982616
BTC/USD,2021-01-02 01:00:00+00:00,29266.83,29481.52,29175.42,29454.09,38.755897,1399.0,29353.240692
BTC/USD,2021-01-02 02:00:00+00:00,29454.09,29555.55,29399.99,29400.0,40.063932,1554.0,29472.987328
BTC/USD,2021-01-02 03:00:00+00:00,29400.0,29455.66,29335.09,29430.83,29.998793,1058.0,29417.065612
BTC/USD,2021-01-02 04:00:00+00:00,29430.83,29472.2,29301.47,29442.3,23.908495,871.0,29394.726111
BTC/USD,2021-01-02 05:00:00+00:00,29443.62,29682.29,29442.42,29676.79,50.282281,1447.0,29567.709802
BTC/USD,2021-01-02 06:00:00+00:00,29678.34,29820.43,29557.02,29799.96,55.882607,1718.0,29723.237458
BTC/USD,2021-01-02 07:00:00+00:00,29800.03,29890.0,29708.31,29833.6,38.868538,1453.0,29812.123456
BTC/USD,2021-01-02 08:00:00+00:00,29831.84,29920.68,29724.04,29912.39,36.354459,1399.0,29855.217265
BTC/USD,2021-01-02 09:00:00+00:00,29913.24,29955.8,29651.49,29696.32,39.812375,1411.0,29826.910587
